Robin DR,Robin aircrafts
Md11,MD-11
Mir2,Dassault Mirage 2000
Rfal,Dassault Rafale
F104,Lockheed F-104 Starfighter
SLCH,351 Stratolaunch
HRON,IAI Heron
lca tejas, hindustan lca tejas
Baaz, Mikoyan MiG-29 Baaz
Panavia tornado, Panavia tornado
SB35, saab 35 draken
SB37, saab 37 viggen
CAML, sopwith camel
PARA, Powered parachute
Avro RJ70, British Aerospace Avro RJ70
BRB2, Brantly B-2B
KFIR, IAI Kfir
PARA, Powered parachute
UHEL, Ultralight helicopter
CL2T, Canadair CL-215T
SMAX, AIRMAX SeaMax
VTOR, PARTENAVIA AP-68TP-600 Viator
CP22, AKROTECH EUROPE CAP-222
S223, SIAT 223 Flamingo
PT70, POTTIER P-170
JAS4, Joby-4
M346,AERMACCHI M-346 Master
BTB2,BAYKAR Bayraktar TB-2
JS41,BRITISH AEROSPACE Jetstream 41
CL2T,CANADAIR CL-215T
HUNT,HAWKER Hunter
F-5,NORTHROP F-5
T154,TUPOLEV Tu-154
